АВС/ DEFОт;АВС/ DEFДо;Оператор;Регион
9024300000;9024399999;Ростелеком;Республика Марий Эл
9024400000;9024499999;Ростелеком;Свердловская область
9024500000;9024599999;Байкалвестком;Республика Бурятия
9024600000;9024609999;Дагест сот связь;Республика Адыгея
9024610000;9024619999;Ростелеком;Камчатский край
9024620000;9024629999;Ростелеком;Камчатский край
9024630000;9024639999;Ростелеком;Камчатский край
9024640000;9024649999;Ростелеком;Камчатский край
9024650000;9024659999;Ростелеком;Республика Марий Эл
9024660000;9024669999;Ростелеком;Республика Марий Эл
9024670000;9024689999;Енисейтелеком;Республика Хакасия
9024690000;9024699999;Дагест сот связь;Республика Адыгея
9024700000;9024799999;Ростелеком;Пермский край
9024800000;9024899999;АКОС;Приморский край
9025000000;9025039999;Ростелеком;Свердловская область
9025040000;9025049999;Архангельские Мобильные Сети;Архангельская область
9025050000;9025069999;АКОС;Приморский край
9025070000;9025079999;Архангельские Мобильные Сети;Архангельская область
9025080000;9025089999;Ростелеком;Магаданская область
9025090000;9025099999;Ростелеком;Свердловская область
9025100000;9025169999;Байкалвестком;Иркутская область
9025190000;9025199999;Байкалвестком;Иркутская область
9025200000;9025299999;Новая телефонная компания;Приморский край
9025300000;9025399999;Байкалвестком;Республика Бурятия
9025400000;9025499999;Байкалвестком;Иркутская область
9025500000;9025529999;Енисейтелеком;Красноярский край
9025530000;9025579999;Новая телефонная компания;Приморский край
9025590000;9025599999;Новая телефонная компания;Приморский край
9025600000;9025619999;Байкалвестком;Иркутская область
9025620000;9025659999;Байкалвестком;Республика Бурятия
9025660000;9025699999;Байкалвестком;Иркутская область
9025760000;9025799999;Байкалвестком;Иркутская область
9025820000;9025829999;Нижегородская сотовая связь;Ульяновская область
9025830000;9025879999;Ростелеком;Свердловская область
9025880000;9025899999;Нижегородская сотовая связь;Ульяновская область
9026000000;9026199999;Ростелеком;Челябинская область
9026200000;9026209999;Ростелеком;Тюменская область
9026210000;9026219999;Ростелеком;Ямало - Ненецкий автономный округ |Тюменская область
9026220000;9026249999;Ростелеком;Тюменская область
9026250000;9026269999;Ростелеком;Ямало - Ненецкий автономный округ |Тюменская область
9026270000;9026279999;Ростелеком;Ханты - Мансийский-Югра автономный округ |Тюменская область
9026280000;9026289999;Ростелеком;Ямало - Ненецкий автономный округ |Тюменская область
9026290000;9026299999;Ростелеком;Ханты - Мансийский-Югра автономный округ |Тюменская область
9026300000;9026499999;Ростелеком;Пермский край
9026500000;9026599999;Волгоград-GSM;Волгоградская область
9026600000;9026639999;Шупашкар-GSM;Чувашская Республика
9026640000;9026649999;Ростелеком;Республика Марий Эл
9026650000;9026659999;Шупашкар-GSM;Чувашская Республика
9026660000;9026699999;Нижегородская сотовая связь;Республика Мордовия
9026700000;9026729999;Ростелеком;Республика Марий Эл
9026800000;9026899999;Нижегородская сотовая связь;Нижегородская область
9026900000;9026929999;Ростелеком;Ханты - Мансийский-Югра автономный округ |Тюменская область
9026930000;9026939999;Ростелеком;Ямало - Ненецкий автономный округ |Тюменская область
9026940000;9026949999;Ростелеком;Ханты - Мансийский-Югра автономный округ |Тюменская область
9027100000;9027109999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Саратовская область
9027110000;9027119999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Республика Татарстан (Татарстан)
9027120000;9027129999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Республика Башкортостан
9027130000;9027139999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Республика Марий Эл
9027140000;9027149999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Республика Мордовия
9027150000;9027159999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Республика Татарстан (Татарстан)
9027160000;9027169999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Республика Мордовия
9027170000;9027179999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Саратовская область
9027180000;9027199999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Республика Татарстан (Татарстан)
9027200000;9027349999;Ростелеком;Тамбовская область
9027350000;9027399999;Ростелеком;Республика Марий Эл
9027430000;9027459999;Ростелеком;Республика Марий Эл
9027460000;9027479999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Ивановская область
